"Year","Disparity","Statistic"
2005,1.95973733935634,"Mean"
2006,1.89106535768829,"Mean"
2007,2.01846964699908,"Mean"
2008,2.03786175817138,"Mean"
2009,2.11536916351431,"Mean"
2010,2.09583330004056,"Mean"
2011,2.13468267504695,"Mean"
2005,2.03573432399294,"Median"
2006,2.0285825746136,"Median"
2007,2.07495146453285,"Median"
2008,2.11029870053418,"Median"
2009,2.19879968472846,"Median"
2010,2.16356439731313,"Median"
2011,2.23023118420325,"Median"
